country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
US,False,(01/08) Consumers Compensating Use,2005-07-01T00:00:00,2016-11-30T00:00:00,likely_official_or_near_official,CUKS,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c8c3ff04-d04e-46ea-aa8c-9cb6bfbfcfe6.png,,KS,2,likely_state_or_province_level,PRODUCTION,USKSKS,KS CT-10U UV
US,False,EXPIRED - Kansas Retailers' Sales Tax Return,2022-10-01T00:00:00,2022-12-31T00:00:00,likely_official_or_near_official,KSST16,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/59bd5706-71c9-4a3b-aabd-514e45616bc3.png,,KS,21,likely_state_or_province_level,PRODUCTION,USKSST16,KS ST16
US,False,Kansas Retailers' Sales Tax Return (long form),2025-07-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,KSST36,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6a9acc96-795d-49c3-a267-016b162aded3.png,,KS,60,likely_state_or_province_level,PRODUCTION,USKSST36,KS ST36
US,False,Magnolia Marketplace Sales Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,LAMAGNOLIAMARKETPLACE,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3c5078af-c564-4bd5-b645-795c33df9560.png,,LA,5,likely_state_or_province_level,PRODUCTION,USLAMAGNOLIAMARKETPLACE,LA Magnolia 8000G
US,False,RIVERWALK/SPANISH PLAZA ADDITIONAL 2% SALES TAX RETURN,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,LANEWORLEANS8000R,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ffb76633-1ed5-4fad-bdde-7aadf6c04b6c.png,,LA,4,likely_state_or_province_level,PRODUCTION,USLANEWORLEANS8000R,LA New Orleans Riverwalk 8000R
US,False,Orleans Parish Local Sales & Use Tax Return (City of New Orleans),2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,LANEWORLEANS8071,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e403ab52-505e-4007-a756-d60138e6cda6.png,,LA,61,likely_state_or_province_level,PRODUCTION,USLANEWORLEANS8071,LA New Orleans 8071
US,False,Sales Tax Return,2025-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,LAR1029A,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1b844217-19b6-488e-92e2-8134d7587037.png,,LA,175,likely_state_or_province_level,PRODUCTION,USLAR1029A,LA R1029 A
US,False,Louisiana State Direct Marketer Sales Tax Return (update in tax type setting required),2025-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,LAR1031,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b7c5e7d6-41dc-49a6-8d40-d9dde8fa781f.png,,LA,42,likely_state_or_province_level,PRODUCTION,USLAR1031,LA R1031
US,False,Business Use Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MAST10,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1bcc136e-f51a-4283-bd61-c3267cb2cb37.png,,MA,3,likely_state_or_province_level,PRODUCTION,USMAST10,MA ST 10
US,False,Sales and Use Tax Return,2019-11-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MAST9,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4fc5e45c-edec-4e54-83df-8e77d983f97d.png,,MA,32,likely_state_or_province_level,PRODUCTION,USMAST9,MA ST9
US,False,Annual Sales and Tax Return,2009-09-01T00:00:00,2015-12-31T00:00:00,likely_official_or_near_official,MAST9A,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b472bb4a-2ecd-48f1-8761-d0b85463b196.png,,MA,3,likely_state_or_province_level,PRODUCTION,USMAST9A,MA ST 9A
