city_name,code_join_key,country,county_fips,county_join_key,county_name,effective_date,end_date,is_acm,is_local_admin,is_sst,jurisdiction_code,jurisdiction_id,jurisdiction_type,name,name_join_key,place_fips,place_join_key,region,short_name,state_fips,state_join_key,tax_authority_type_id
,US|VT|Special|EISP0,US,025,US-VT-50-025,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISP0,2001059891,Special,DOVER LOCAL OPTION,US|VT|Special|DOVER LOCAL OPTION,,,VT,DOVER LOCAL OPTION,50,US-VT-50,
,US|VT|Special|EISQ0,US,021,US-VT-50-021,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISQ0,2001059892,Special,KILLINGTON LOCAL OPTION,US|VT|Special|KILLINGTON LOCAL OPTION,,,VT,KILLINGTON LOCAL OPTION,50,US-VT-50,
,US|VT|Special|EISS0,US,001,US-VT-50-001,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISS0,2001059893,Special,MIDDLEBURY LOCAL OPTION,US|VT|Special|MIDDLEBURY LOCAL OPTION,,,VT,MIDDLEBURY LOCAL OPTION,50,US-VT-50,
,US|VT|Special|EISR0,US,003,US-VT-50-003,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISR0,2001059894,Special,MANCHESTER LOCAL OPTION,US|VT|Special|MANCHESTER LOCAL OPTION,,,VT,MANCHESTER LOCAL OPTION,50,US-VT-50,
,US|WA|Special|L2702,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,L2702,5004773,Special,BUCKLEY SPECIAL TAX DISTRICT,US|WA|Special|BUCKLEY SPECIAL TAX DISTRICT,,,WA,SPECIAL TAX DISTRICT,53,US-WA-53,
,US|VT|Special|EIST0,US,021,US-VT-50-021,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EIST0,2001059895,Special,RUTLAND TOWN LOCAL OPTION,US|VT|Special|RUTLAND TOWN LOCAL OPTION,,,VT,RUTLAND TOWN LOCAL OPTION,50,US-VT-50,
,US|VT|Special|EISV0,US,007,US-VT-50-007,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISV0,2001059897,Special,S BURLINGTON LOCAL OPTION,US|VT|Special|S BURLINGTON LOCAL OPTION,,,VT,S BURLINGTON LOCAL OPTION,50,US-VT-50,
,US|VT|Special|EISW0,US,025,US-VT-50-025,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISW0,2001059898,Special,STRATTON LOCAL OPTION,US|VT|Special|STRATTON LOCAL OPTION,,,VT,STRATTON LOCAL OPTION,50,US-VT-50,
,US|VT|Special|EISX0,US,007,US-VT-50-007,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISX0,2001059899,Special,WILLISTON LOCAL OPTION,US|VT|Special|WILLISTON LOCAL OPTION,,,VT,WILLISTON LOCAL OPTION,50,US-VT-50,
,US|KS|Special|20951,US,,,,2012-01-01T00:00:00Z,9999-12-31T00:00:00Z,False,True,True,20951,2000003865,Special,KANSAS CITY SPECIAL TAX DISTRICT,US|KS|Special|KANSAS CITY SPECIAL TAX DISTRICT,,,KS,KANSAS CITY STJ,20,US-KS-20,45
,US|VT|Special|EISZ0,US,003,US-VT-50-003,,2011-09-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,EISZ0,2001059900,Special,WINHALL LOCAL OPTION,US|VT|Special|WINHALL LOCAL OPTION,,,VT,WINHALL LOCAL OPTION,50,US-VT-50,
,US|KS|Special|20952,US,,,,2012-01-01T00:00:00Z,9999-12-31T00:00:00Z,False,True,True,20952,2000003866,Special,OLATHE SPECIAL TAX DISTRICT,US|KS|Special|OLATHE SPECIAL TAX DISTRICT,,,KS,OLATHE STJ,20,US-KS-20,45
,US|WA|Special|L0502,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,L0502,5004780,Special,PORT ANGELES SPECIAL TAX DISTRICT,US|WA|Special|PORT ANGELES SPECIAL TAX DISTRICT,,,WA,SPECIAL TAX DISTRICT,53,US-WA-53,
,US|WA|Special|L2708,US,053,US-WA-53-053,PIERCE,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,L2708,5004782,Special,GIG HARBOR SPECIAL TAX DIST,US|WA|Special|GIG HARBOR SPECIAL TAX DIST,,,WA,SPECIAL TAX DISTRICT,53,US-WA-53,
,US|KS|Special|1100000007,US,161,US-KS-20-161,,2011-10-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,1100000007,2001059904,Special,MANHATTAN FLINT HILLS SOUTH TDD,US|KS|Special|MANHATTAN FLINT HILLS SOUTH TDD,,,KS,MANHATTAN FLINT HILL TL,20,US-KS-20,
,US|MO|Special|1100000015,US,019,US-MO-29-019,,2011-10-01T00:00:00Z,9999-12-31T00:00:00Z,True,False,False,1100000015,2001059906,Special,BOONE CO FAIRGROUND REGIONAL RECREATION DISTRICT SP,US|MO|Special|BOONE CO FAIRGROUND REGIONAL RECREATION DISTRICT SP,,,MO,BOONE CO FAIRGROUND RD SP,29,US-MO-29,
,US|WA|Special|L2203,US,,,,1900-01-01T00:00:00Z,9999-12-31T00:00:00Z,False,False,True,L2203,5004785,Special,DAVENPORT SPECIAL TAX DISTRICT,US|WA|Special|DAVENPORT SPECIAL TAX DISTRICT,,,WA,SPECIAL TAX DISTRICT,53,US-WA-53,
