country,region,tax_form_code,tax_form_name,description,purpose,visible_to_customers,report_level,authority_level_guess,form_master_id,tax_authority_count,tax_authorities,tax_authority_ids,tax_type_count,tax_types,tax_type_ids,form_image_urls,raw_form_summary
US,AK,USAKKOYUK,AK Koyuk,City of Koyuk Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2417,1,KOYUK,154,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/a8a5443f-9370-4afa-bdc0-302f4f6d4a4d.png""]","{""FormMasterId"":2417,""TaxFormCode"":""USAKKOYUK"",""TaxFormName"":""AK Koyuk"",""Description"":""City of Koyuk Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKMANOKOTAK,AK Manokotak,City of Manokotak Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2418,1,MANOKOTAK,157,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/121c86d8-b349-4924-baf6-13602372de4d.png""]","{""FormMasterId"":2418,""TaxFormCode"":""USAKMANOKOTAK"",""TaxFormName"":""AK Manokotak"",""Description"":""City of Manokotak Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKNENANA,AK Nenana,City of Nenana Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2419,1,NENANA,161,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/b268d83b-1079-4dab-b225-4499cd8a9653.png""]","{""FormMasterId"":2419,""TaxFormCode"":""USAKNENANA"",""TaxFormName"":""AK Nenana"",""Description"":""City of Nenana Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKPOINTHOPE,AK Point Hope,City of Point Hope Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2420,1,POINT HOPE,432,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/1e7733a6-795d-4296-ab9c-b17d8e7c781c.png""]","{""FormMasterId"":2420,""TaxFormCode"":""USAKPOINTHOPE"",""TaxFormName"":""AK Point Hope"",""Description"":""City of Point Hope Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKSAVOONGA,AK Savoonga,City of Savoonga Sales Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2421,1,SAVOONGA,180,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/3ee0006b-35f4-4ac5-aff8-ecfd748df2e1.png""]","{""FormMasterId"":2421,""TaxFormCode"":""USAKSAVOONGA"",""TaxFormName"":""AK Savoonga"",""Description"":""City of Savoonga Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKNAPAKIAK,AK Napakiak,City of Napakiak Sales Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2422,1,NAPAKIAK,428,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/a16df791-f576-4256-bdd3-19e7d8c05819.png""]","{""FormMasterId"":2422,""TaxFormCode"":""USAKNAPAKIAK"",""TaxFormName"":""AK Napakiak"",""Description"":""City of Napakiak Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKPILOTSTATION,AK Pilot Station,City of Pilot Station Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2426,1,PILOT STATION,173,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/95f9b4bc-5cdc-4a43-a163-1f52c875c899.png""]","{""FormMasterId"":2426,""TaxFormCode"":""USAKPILOTSTATION"",""TaxFormName"":""AK Pilot Station"",""Description"":""City of Pilot Station Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKNUNAPITCHUK,AK Nunapitchuk,Sales Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2526,1,NUNAPITCHUK,167,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/c4866917-957c-4bf6-af22-9be326ca1352.png""]","{""FormMasterId"":2526,""TaxFormCode"":""USAKNUNAPITCHUK"",""TaxFormName"":""AK Nunapitchuk"",""Description"":""Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKTOGIAK,AK Togiak,Togiak City Sales and Use Tax Return,Use to report local sales tax and sellers use tax.,True,CIT,city,2527,1,TOGIAK,197,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/83e860c3-8ccf-4568-bfda-168c6cf0eeca.png""]","{""FormMasterId"":2527,""TaxFormCode"":""USAKTOGIAK"",""TaxFormName"":""AK Togiak"",""Description"":""Togiak City Sales and Use Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax and sellers use tax.""}"
US,AK,USAKNOMEGAMBELL,AK Gambell Sales Tax Return,Gambell Sales Tax Return,Use to report local sales tax.,True,CIT,city,7089,1,GAMBELL,133,1,Sales Tax,1,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/a79cbe28-59ad-4b77-997c-5b28f65faaa8.png""]","{""FormMasterId"":7089,""TaxFormCode"":""USAKNOMEGAMBELL"",""TaxFormName"":""AK Gambell Sales Tax Return"",""Description"":""Gambell Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax.""}"
US,AK,USAKSELAWIK,AK Selawik,Selawaik Sales Tax Return,Use to report local sales tax.,True,CIT,city,10535,1,SELAWIK,183,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/356fa5c3-772e-4856-8a9f-50d36a19d013.png""]","{""FormMasterId"":10535,""TaxFormCode"":""USAKSELAWIK"",""TaxFormName"":""AK Selawik"",""Description"":""Selawaik Sales Tax Return"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax.""}"
US,AK,USAKPORTALEXANDER,AK Port Alexander,Quarterly City Sales Tax Report,Use to report local sales tax quarterly.,True,CIT,city,12264,1,PORT ALEXANDER,174,1,Sales Tax,1,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/8c6944f1-7a06-4726-9286-5821c88cb059.png""]","{""FormMasterId"":12264,""TaxFormCode"":""USAKPORTALEXANDER"",""TaxFormName"":""AK Port Alexander"",""Description"":""Quarterly City Sales Tax Report"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""CIT"",""Purpose"":""Use to report local sales tax quarterly.""}"
US,AK,USAKRSR,AK Remote Sellers Return,Schedule for Remote Sellers,Use when you're registered and file in Alaska local jurisdictions who have adopted the Alaska Remote Sellers Tax Commission Code.,True,STJ,,12498,55,ADAK | ALASKA REMOTE SELLER SALES TAX COMMISSION | ALEKNAGIK | ANIAK | BETHEL | CORDOVA | CRAIG | DILLINGHAM | ELIM | EXCURSION INLET | GALENA | GUSTAVUS | HAINES | HAINES CO | HOMER | HOUSTON | JUNEAU | KAKE | KENAI | KENAI PENINSULA | KETCHIKAN | KETCHIKAN GATEWAY | KODIAK | KOTZEBUE | MEKORYUK | MOUNTAIN VILLAGE | NAPASKIAK | NENANA | NOME | NORTH POLE | OLD HARBOR | OUZINKIE | PALMER | PELICAN | PETERSBURG BOROUGH | QUINHAGAK | SAINT PAUL | SCAMMON BAY | SELAWIK | SELDOVIA | SEWARD | SHUNGNAK | SITKA | SKAGWAY | SOLDOTNA | TENAKEE SPRINGS | THORNE BAY | TOGIAK | TOKSOOK BAY | UNALAKLEET | UNALASKA | WASILLA | WHITE MOUNTAIN | WRANGELL | YAKUTAT,426 | 6519 | 112 | 115 | 116 | 122 | 123 | 125 | 128 | 7082 | 132 | 420 | 135 | 134 | 136 | 139 | 141 | 142 | 143 | 144 | 145 | 146 | 151 | 153 | 159 | 160 | 6315 | 161 | 164 | 166 | 168 | 169 | 170 | 171 | 435 | 175 | 178 | 182 | 183 | 184 | 185 | 189 | 393 | 190 | 191 | 195 | 196 | 197 | 198 | 199 | 200 | 202 | 203 | 204 | 412,2,Sales Tax | Sellers Use,1 | 2,"[""https://cdn.tfc.prd.data.returns.avalara.net/tax-form-catalog/png/b9aedeff-ca27-41f1-93b4-934588547665.png""]","{""FormMasterId"":12498,""TaxFormCode"":""USAKRSR"",""TaxFormName"":""AK Remote Sellers Return"",""Description"":""Schedule for Remote Sellers"",""Country"":""US"",""Region"":""AK"",""VisibleToCustomers"":true,""ReportLevel"":""STJ"",""Purpose"":""Use when you're registered and file in Alaska local jurisdictions who have adopted the Alaska Remote Sellers Tax Commission Code.""}"
