tax_form_code,tax_form_name,legacy_return_name,description,country,region,purpose,status,effective_date,end_date,preview_image,form_master_id,form_version_id,major,minor,revision
USAKMARSHALL,AK Marshall,AKMARSHALL,Monthly Sales Tax Report,US,AK,,PRODUCTION,2008-09-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a239e783-a16b-43ce-9442-35aa4aed782a.png,33,41152,1,0,3
USAKNAPAKIAK,AK Napakiak,AKNAPAKIAK,City of Napakiak Sales Tax Return,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a16df791-f576-4256-bdd3-19e7d8c05819.png,2422,7521,1,0,0
USAKNENANA,AK Nenana,AKNENANA,City of Nenana Tax Return,US,AK,,PRODUCTION,2021-08-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b268d83b-1079-4dab-b225-4499cd8a9653.png,2419,1051605,1,0,7
USAKNOME,AK Nome,AKNOME,Seller's Monthly Return,US,AK,,PRODUCTION,2026-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b2677cc9-1e4c-427d-971a-d0f372ac0c84.png,34,21113536,1,0,28
USAKNOMEGAMBELL,AK Gambell Sales Tax Return,AKNOMEGAMBELL,Gambell Sales Tax Return,US,AK,,PRODUCTION,2018-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a79cbe28-59ad-4b77-997c-5b28f65faaa8.png,7089,21066806,1,0,3
USAKNORTHPOLEA,AK North Pole Annually,AKNORTHPOLEA,City of North Pole Sales Tax Return,US,AK,,PRODUCTION,2023-02-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/37eaa297-9c25-4790-8dc5-7c28fb7813cf.png,21018897,21069110,1,0,2
USAKNORTHPOLEALCOHOL,AK North Pole Alcohol Tax Return,AKNORTHPOLEALCOHOL,City of North Pole Alcohol Tax Remittance form,US,AK,,PRODUCTION,2023-05-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5c45f3b3-7cd2-46f8-8d01-6ffd37e5fe9d.png,4676,21094893,1,0,3
USAKNORTHPOLEM,AK North Pole Monthly,AKNORTHPOLEM,City of North Pole Sales Tax Return,US,AK,,PRODUCTION,2023-09-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5bbd8c68-f824-450d-91d7-72693e4cd4af.png,35,21094763,1,0,15
USAKNORTHPOLEQ,AK North Pole Quarterly,AKNORTHPOLEQ,City of North Pole Sales Tax Return,US,AK,,PRODUCTION,2023-03-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c9cf5720-3403-4d48-89b0-09f278028421.png,36,21069377,1,0,9
USAKNUNAPITCHUK,AK Nunapitchuk,AKNUNAPITCHUK,Sales Tax Return,US,AK,,PRODUCTION,2018-02-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c4866917-957c-4bf6-af22-9be326ca1352.png,2526,21070771,1,0,3
USAKOLDHARBOR,AK Old Harbor,AKOLDHARBOR,City of Old Harbor Tax Return,US,AK,,PRODUCTION,1990-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5d222434-2b13-4f9d-b7c5-13c8e7579303.png,2412,7459,1,0,0
USAKOUZINKIE,AK Ouzinkie,AKOUZINKIE,Sales Tax Report (Quarterly),US,AK,,PRODUCTION,2022-07-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/585156dd-e6d3-499b-8fcb-a5ca04e816c7.png,38,21109385,1,0,5
USAKPALMER,AK Palmer,AKPALMER,Monthly Sales Tax,US,AK,,PRODUCTION,2024-12-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/871d3855-c6e8-4fd8-b812-4c60585d3507.png,39,21111435,1,0,16
